File.......:  600eis 225h- JUL,01.2014

System.....:  
Potential..:  0.000V
Current....:  -6.0434uA
Temperature:  -1.2+-0.1C
Time.......:  21:56:13 - 21:59:02
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   42
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       3.5628e+00        2.6011e-01        1.000           0.0
  2       7.5437e+04       3.5747e+00        1.6443e-01        1.000           1.1
  3       5.6908e+04       3.5909e+00        9.0775e-02        1.000           1.5
  4       4.2930e+04       3.6096e+00        3.0682e-02        1.000           2.0
  5       3.2385e+04       3.6317e+00       -1.6514e-02        1.000           3.0
  6       2.4431e+04       3.6534e+00       -6.1958e-02        1.000           3.4
  7       1.8430e+04       3.6800e+00       -9.6600e-02        1.000           3.9
  8       1.3903e+04       3.7108e+00       -1.2642e-01        1.000           4.3
  9       1.0488e+04       3.7420e+00       -1.5800e-01        1.000           4.7
 10       7.9119e+03       3.7753e+00       -1.8785e-01        1.000           5.2
 11       5.9686e+03       3.8155e+00       -2.1281e-01        1.000           5.6
 12       4.5025e+03       3.8592e+00       -2.4203e-01        1.000           6.0
 13       3.3966e+03       3.9104e+00       -2.6747e-01        1.000           6.6
 14       2.5623e+03       3.9685e+00       -2.9082e-01        1.000           7.6
 15       1.9329e+03       4.0285e+00       -3.1263e-01        1.000           8.0
 16       1.4582e+03       4.0946e+00       -3.3179e-01        1.000           8.5
 17       1.1000e+03       4.1637e+00       -3.4490e-01        1.000           8.9
 18       8.2981e+02       4.2365e+00       -3.5363e-01        1.000           9.3
 19       6.2599e+02       4.3120e+00       -3.5703e-01        1.000           9.8
 20       4.7223e+02       4.3876e+00       -3.5241e-01        1.000          10.2
 21       3.5624e+02       4.4605e+00       -3.4329e-01        1.000          10.6
 22       2.6874e+02       4.5316e+00       -3.2648e-01        1.000          11.1
 23       2.0273e+02       4.5972e+00       -3.0365e-01        1.000          11.5
 24       1.5293e+02       4.6516e+00       -2.8056e-01        1.000          11.9
 25       1.1537e+02       4.7043e+00       -2.5473e-01        1.000          12.4
 26       8.7031e+01       4.7483e+00       -2.2890e-01        1.000          12.8
 27       6.5649e+01       4.7871e+00       -2.0636e-01        1.000          13.3
 28       4.8890e+01       4.8193e+00       -1.7959e-01        1.000          14.6
 29       3.5902e+01       4.8513e+00       -1.5319e-01        1.000          16.2
 30       2.5963e+01       4.8735e+00       -1.3037e-01        1.000          17.4
 31       1.8462e+01       4.8963e+00       -1.0819e-01        1.000          18.7
 32       1.2888e+01       4.9136e+00       -9.0649e-02        1.000          20.2
 33       8.8167e+00       4.9268e+00       -6.9929e-02        1.000          21.8
 34       5.9005e+00       4.9319e+00       -5.2410e-02        1.000          23.8
 35       3.8562e+00       4.9354e+00       -4.1175e-02        1.000          26.2
 36       2.4573e+00       4.9291e+00       -3.0714e-02        1.000          29.3
 37       1.5252e+00       4.9151e+00       -2.1364e-02        1.000          34.8
 38       9.2196e-01       4.8939e+00       -1.6104e-02        1.000          41.8
 39       5.4349e-01       4.8889e+00       -1.0299e-02        1.000          51.5
 40       3.1344e-01       4.9014e+00       -8.3617e-03        1.000          66.4
 41       1.7783e-01       4.8934e+00       -2.7323e-03        1.000         121.8
 42       1.0000e-01       4.9382e+00       -1.3477e-03        1.000         157.7

