File.......:  600eis 36.5h - JUN,23.2014

System.....:  
Potential..:  -0.001V
Current....:  -97.099uA
Temperature:  -1.1+-0.1C
Time.......:  10:28:36 - 10:29:21
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.4008e+00        4.5189e-01        1.000           0.0
   2      7.9606e+04       3.4081e+00        3.3950e-01        1.000           1.1
   3      6.3371e+04       3.4119e+00        2.4772e-01        1.000           1.5
   4      5.0448e+04       3.4218e+00        1.7181e-01        1.000           2.0
   5      4.0159e+04       3.4302e+00        1.0804e-01        1.000           2.5
   6      3.1969e+04       3.4429e+00        5.5625e-02        1.000           2.9
   7      2.5450e+04       3.4539e+00        6.2354e-03        1.000           3.3
   8      2.0259e+04       3.4684e+00       -3.3877e-02        1.000           3.9
   9      1.6128e+04       3.4848e+00       -6.9163e-02        1.000           4.8
  10      1.2839e+04       3.5047e+00       -1.0252e-01        1.000           5.3
  11      1.0220e+04       3.5269e+00       -1.3338e-01        1.000           5.7
  12      8.1360e+03       3.5522e+00       -1.6244e-01        1.000           6.1
  13      6.4768e+03       3.5802e+00       -1.8855e-01        1.000           7.0
  14      5.1559e+03       3.6123e+00       -2.1485e-01        1.000           7.4
  15      4.1044e+03       3.6481e+00       -2.3896e-01        1.000           7.9
  16      3.2674e+03       3.6883e+00       -2.6154e-01        1.000           8.3
  17      2.6010e+03       3.7314e+00       -2.8164e-01        1.000           8.8
  18      2.0706e+03       3.7788e+00       -2.9948e-01        1.000           9.2
  19      1.6483e+03       3.8287e+00       -3.1417e-01        1.000           9.7
  20      1.3122e+03       3.8811e+00       -3.2650e-01        1.000          10.1
  21      1.0446e+03       3.9354e+00       -3.3516e-01        1.000          10.5
  22      8.3153e+02       3.9910e+00       -3.4073e-01        1.000          10.9
  23      6.6195e+02       4.0469e+00       -3.4147e-01        1.000          11.3
  24      5.2695e+02       4.1025e+00       -3.3807e-01        1.000          11.8
  25      4.1949e+02       4.1576e+00       -3.3041e-01        1.000          12.2
  26      3.3394e+02       4.2113e+00       -3.1981e-01        1.000          12.6
  27      2.6584e+02       4.2610e+00       -3.0389e-01        1.000          13.1
  28      2.1162e+02       4.3078e+00       -2.8574e-01        1.000          13.5
  29      1.6846e+02       4.3497e+00       -2.6431e-01        1.000          13.9
  30      1.3411e+02       4.3861e+00       -2.4071e-01        1.000          14.4
  31      1.0676e+02       4.4164e+00       -2.1743e-01        1.000          14.8
  32      8.4986e+01       4.4449e+00       -1.9342e-01        1.000          15.2
  33      6.7654e+01       4.4677e+00       -1.7295e-01        1.000          15.7
  34      5.3524e+01       4.4750e+00       -1.4991e-01        1.000          17.0
  35      4.1896e+01       4.4879e+00       -1.2742e-01        1.000          18.6
  36      3.2409e+01       4.4960e+00       -1.0790e-01        0.999          19.7
  37      2.4746e+01       4.5029e+00       -8.7232e-02        0.999          20.9
  38      1.8624e+01       4.5085e+00       -7.2196e-02        1.000          22.2
  39      1.3792e+01       4.5093e+00       -5.8990e-02        1.000          23.6
  40      1.0031e+01       4.5105e+00       -4.6134e-02        1.000          25.2
  41      7.1499e+00       4.5079e+00       -3.5354e-02        1.000          27.0
  42      4.9825e+00       4.5067e+00       -2.6762e-02        1.000          29.2
  43      3.3858e+00       4.5046e+00       -2.1083e-02        1.000          31.9
  44      2.2374e+00       4.5063e+00       -1.5395e-02        1.000          35.3
  45      1.4343e+00       4.5132e+00       -1.1237e-02        1.000          40.7

