File.......:  600eis 427h - JUL,09.2014

System.....:  
Potential..:  0.000V
Current....:  -10.714uA
Temperature:  -1.5+-0.1C
Time.......:  21:22:48 - 21:25:45
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.7164e+00        3.2428e-01        1.000           0.0
   2      7.9606e+04       3.7260e+00        2.3294e-01        1.000           1.1
   3      6.3371e+04       3.7416e+00        1.5431e-01        1.000           1.5
   4      5.0448e+04       3.7545e+00        8.9907e-02        1.000           1.9
   5      4.0159e+04       3.7732e+00        3.7171e-02        1.000           2.4
   6      3.1969e+04       3.7906e+00       -9.9448e-03        1.000           2.8
   7      2.5450e+04       3.8087e+00       -5.3863e-02        1.000           3.3
   8      2.0259e+04       3.8299e+00       -8.6840e-02        1.000           3.7
   9      1.6128e+04       3.8547e+00       -1.1873e-01        1.000           4.2
  10      1.2839e+04       3.8800e+00       -1.4704e-01        1.000           4.7
  11      1.0220e+04       3.9092e+00       -1.7414e-01        1.000           5.1
  12      8.1360e+03       3.9397e+00       -2.0153e-01        1.000           5.5
  13      6.4768e+03       3.9748e+00       -2.2384e-01        1.000           6.0
  14      5.1559e+03       4.0116e+00       -2.4895e-01        1.000           6.4
  15      4.1044e+03       4.0530e+00       -2.7335e-01        1.000           6.9
  16      3.2674e+03       4.0978e+00       -2.9680e-01        1.000           7.3
  17      2.6010e+03       4.1465e+00       -3.1916e-01        1.000           7.8
  18      2.0706e+03       4.1989e+00       -3.3965e-01        1.000           8.2
  19      1.6483e+03       4.2557e+00       -3.5848e-01        1.000           8.7
  20      1.3122e+03       4.3153e+00       -3.7450e-01        1.000           9.1
  21      1.0446e+03       4.3792e+00       -3.8744e-01        1.000           9.6
  22      8.3153e+02       4.4445e+00       -3.9827e-01        1.000          10.0
  23      6.6195e+02       4.5119e+00       -4.0448e-01        1.000          10.5
  24      5.2695e+02       4.5806e+00       -4.0631e-01        1.000          10.9
  25      4.1949e+02       4.6490e+00       -4.0496e-01        1.000          11.3
  26      3.3394e+02       4.7171e+00       -3.9779e-01        1.000          11.8
  27      2.6584e+02       4.7838e+00       -3.8585e-01        1.000          12.2
  28      2.1162e+02       4.8459e+00       -3.7278e-01        1.000          12.7
  29      1.6846e+02       4.9051e+00       -3.5245e-01        1.000          13.1
  30      1.3411e+02       4.9603e+00       -3.3102e-01        1.000          13.5
  31      1.0676e+02       5.0111e+00       -3.0904e-01        1.000          14.0
  32      8.4986e+01       5.0579e+00       -2.8388e-01        1.000          14.5
  33      6.7654e+01       5.0983e+00       -2.6107e-01        1.000          15.0
  34      5.3524e+01       5.1369e+00       -2.3611e-01        1.000          16.3
  35      4.1896e+01       5.1706e+00       -2.0948e-01        1.000          17.8
  36      3.2409e+01       5.2031e+00       -1.8622e-01        1.000          19.0
  37      2.4746e+01       5.2337e+00       -1.6312e-01        1.000          20.2
  38      1.8624e+01       5.2628e+00       -1.4016e-01        1.000          21.5
  39      1.3792e+01       5.2883e+00       -1.2263e-01        1.000          22.9
  40      1.0031e+01       5.3132e+00       -9.9009e-02        1.000          24.6
  41      7.1499e+00       5.3354e+00       -8.2845e-02        1.000          26.4
  42      4.9825e+00       5.3560e+00       -6.4084e-02        1.000          28.6
  43      3.3858e+00       5.3748e+00       -4.9741e-02        1.000          31.3
  44      2.2374e+00       5.3930e+00       -3.7564e-02        1.000          34.7
  45      1.4343e+00       5.4114e+00       -2.7804e-02        1.000          40.2
  46      8.9031e-01       5.4152e+00       -2.1022e-02        1.000          47.0
  47      5.3506e-01       5.3942e+00       -1.3773e-02        1.000          56.9
  48      3.1211e-01       5.3233e+00       -7.4795e-03        1.000          71.9
  49      1.7783e-01       5.4044e+00       -2.4569e-03        0.999         129.7
  50      1.0000e-01       5.3264e+00       -2.1803e-03        1.000         165.6

