File.......:  600eis 59h - JUN,24.2014

System.....:  
Potential..:  0.000V
Current....:  -762.42nA
Temperature:  -0.9+-0.0C
Time.......:  09:20:04 - 09:22:28
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       3.2345e+00        4.1330e-01        1.000           0.0
  2       7.9606e+04       3.2400e+00        3.0587e-01        1.000           1.5
  3       6.3371e+04       3.2470e+00        2.2142e-01        1.000           1.9
  4       5.0448e+04       3.2572e+00        1.5052e-01        1.000           2.3
  5       4.0159e+04       3.2670e+00        9.1488e-02        1.000           2.8
  6       3.1969e+04       3.2774e+00        4.0448e-02        1.000           3.2
  7       2.5450e+04       3.2902e+00       -3.7832e-03        1.000           3.7
  8       2.0259e+04       3.3064e+00       -4.1919e-02        1.000           4.1
  9       1.6128e+04       3.3242e+00       -7.6722e-02        1.000           4.6
 10       1.2839e+04       3.3450e+00       -1.0828e-01        1.000           5.0
 11       1.0220e+04       3.3686e+00       -1.3793e-01        1.000           5.5
 12       8.1360e+03       3.3942e+00       -1.6629e-01        1.000           5.9
 13       6.4768e+03       3.4243e+00       -1.9207e-01        1.000           6.4
 14       5.1559e+03       3.4587e+00       -2.1597e-01        1.000           6.8
 15       4.1044e+03       3.4961e+00       -2.3974e-01        1.000           7.2
 16       3.2674e+03       3.5372e+00       -2.6091e-01        1.000           7.7
 17       2.6010e+03       3.5818e+00       -2.7947e-01        1.000           8.1
 18       2.0706e+03       3.6292e+00       -2.9532e-01        1.000           8.5
 19       1.6483e+03       3.6789e+00       -3.0798e-01        1.000           9.0
 20       1.3122e+03       3.7320e+00       -3.1720e-01        1.000           9.4
 21       1.0446e+03       3.7865e+00       -3.2299e-01        1.000           9.9
 22       8.3153e+02       3.8415e+00       -3.2584e-01        1.000          10.3
 23       6.6195e+02       3.8973e+00       -3.2305e-01        1.000          10.7
 24       5.2695e+02       3.9516e+00       -3.1622e-01        1.000          11.2
 25       4.1949e+02       4.0043e+00       -3.0601e-01        1.000          11.6
 26       3.3394e+02       4.0545e+00       -2.9226e-01        1.000          12.0
 27       2.6584e+02       4.1009e+00       -2.7457e-01        1.000          12.5
 28       2.1162e+02       4.1437e+00       -2.5577e-01        1.000          12.9
 29       1.6846e+02       4.1806e+00       -2.3418e-01        1.000          13.3
 30       1.3411e+02       4.2148e+00       -2.1367e-01        1.000          13.8
 31       1.0676e+02       4.2449e+00       -1.9237e-01        1.000          14.2
 32       8.4986e+01       4.2690e+00       -1.7128e-01        1.000          14.7
 33       6.7654e+01       4.2901e+00       -1.5201e-01        1.000          15.2
 34       5.3524e+01       4.3064e+00       -1.3232e-01        0.999          16.5
 35       4.1896e+01       4.3231e+00       -1.1410e-01        0.999          18.0
 36       3.2409e+01       4.3366e+00       -9.7628e-02        0.999          19.2
 37       2.4746e+01       4.3478e+00       -8.1484e-02        1.000          20.4
 38       1.8624e+01       4.3593e+00       -6.6404e-02        0.999          21.7
 39       1.3792e+01       4.3691e+00       -5.5879e-02        0.999          23.1
 40       1.0031e+01       4.3781e+00       -4.3081e-02        0.999          24.8
 41       7.1499e+00       4.3855e+00       -3.3228e-02        1.000          26.6
 42       4.9825e+00       4.3958e+00       -2.4887e-02        1.000          28.8
 43       3.3858e+00       4.4069e+00       -2.0072e-02        0.999          31.5
 44       2.2374e+00       4.4208e+00       -1.4890e-02        0.999          34.9
 45       1.4343e+00       4.4404e+00       -1.1235e-02        1.000          40.3
 46       8.9031e-01       4.4691e+00       -7.7597e-03        1.000          47.2
 47       5.3506e-01       4.4922e+00       -7.7555e-03        0.999          57.1
 48       3.1211e-01       4.4484e+00       -3.2171e-03        0.999          72.1
 49       1.7783e-01       4.3938e+00        7.7231e-05        1.000          96.6
 50       1.0000e-01       4.4820e+00       -1.5031e-03        1.000         132.5

