File.......:  600eis 1h - JUN,21.2014

System.....:  
Potential..:  0.000V
Current....:  -38.399uA
Temperature:  -1.0+-0.1C
Time.......:  22:26:31 - 22:27:38
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       4.5195e+00        3.6650e-01        0.999           0.0
   2      7.9606e+04       4.5291e+00        2.7116e-01        0.999           1.5
   3      6.3371e+04       4.5436e+00        1.7857e-01        1.000           2.2
   4      5.0448e+04       4.5567e+00        1.1441e-01        1.000           2.9
   5      4.0159e+04       4.5689e+00        6.2820e-02        1.000           3.3
   6      3.1969e+04       4.5796e+00        1.9963e-02        1.000           3.7
   7      2.5450e+04       4.5910e+00       -2.5797e-02        1.000           4.2
   8      2.0259e+04       4.6077e+00       -6.0001e-02        1.000           4.6
   9      1.6128e+04       4.6282e+00       -9.2536e-02        1.000           5.1
  10      1.2839e+04       4.6497e+00       -1.2376e-01        1.000           5.5
  11      1.0220e+04       4.6739e+00       -1.5292e-01        1.000           6.0
  12      8.1360e+03       4.7020e+00       -1.8395e-01        1.000           6.4
  13      6.4768e+03       4.7343e+00       -2.1062e-01        1.000           6.8
  14      5.1559e+03       4.7685e+00       -2.4007e-01        1.000           7.3
  15      4.1044e+03       4.8084e+00       -2.6621e-01        1.000           7.7
  16      3.2674e+03       4.8519e+00       -2.9382e-01        1.000           8.2
  17      2.6010e+03       4.8999e+00       -3.1859e-01        1.000           8.6
  18      2.0706e+03       4.9522e+00       -3.4106e-01        0.999           9.1
  19      1.6483e+03       5.0074e+00       -3.6358e-01        1.000           9.5
  20      1.3122e+03       5.0672e+00       -3.8206e-01        0.999           9.9
  21      1.0446e+03       5.1286e+00       -3.9886e-01        1.000          10.4
  22      8.3153e+02       5.1930e+00       -4.1445e-01        0.999          10.8
  23      6.6195e+02       5.2609e+00       -4.2623e-01        0.999          11.2
  24      5.2695e+02       5.3286e+00       -4.3422e-01        0.999          11.7
  25      4.1949e+02       5.4011e+00       -4.3825e-01        0.999          12.1
  26      3.3394e+02       5.4733e+00       -4.4063e-01        0.999          12.5
  27      2.6584e+02       5.5471e+00       -4.3615e-01        0.999          13.0
  28      2.1162e+02       5.6217e+00       -4.2838e-01        0.999          13.4
  29      1.6846e+02       5.6918e+00       -4.1242e-01        0.999          13.9
  30      1.3411e+02       5.7580e+00       -3.9284e-01        0.999          14.3
  31      1.0676e+02       5.8235e+00       -3.6600e-01        0.999          14.8
  32      8.4986e+01       5.8797e+00       -3.3770e-01        0.999          15.2
  33      6.7654e+01       5.9259e+00       -3.0624e-01        0.999          15.7
  34      5.3524e+01       5.9567e+00       -2.7091e-01        0.999          17.0
  35      4.1896e+01       5.9859e+00       -2.3502e-01        0.999          18.6
  36      3.2409e+01       6.0103e+00       -1.9722e-01        0.999          19.8
  37      2.4746e+01       6.0270e+00       -1.6435e-01        0.999          21.0
  38      1.8624e+01       6.0372e+00       -1.3295e-01        0.999          22.3
  39      1.3792e+01       6.0417e+00       -1.0769e-01        0.999          23.7
  40      1.0031e+01       6.0392e+00       -8.3401e-02        0.999          25.3
  41      7.1499e+00       6.0366e+00       -6.0913e-02        1.000          27.2
  42      4.9825e+00       6.0248e+00       -4.3686e-02        0.999          29.4
  43      3.3858e+00       6.0113e+00       -3.2933e-02        0.999          32.1
  44      2.2374e+00       5.9977e+00       -2.3312e-02        0.999          35.5
  45      1.4343e+00       5.9856e+00       -1.8524e-02        1.000          40.9
  46      8.9031e-01       5.9841e+00       -1.2516e-02        1.000          47.8

