File.......:  600eis 292h - JUL,04.2014

System.....:  
Potential..:  -0.001V
Current....:  -47.935uA
Temperature:  -1.4+-0.1C
Time.......:  09:59:12 - 10:01:37
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.7029e+00        5.2696e-01        1.000           0.0
   2      7.9606e+04       3.7130e+00        3.9826e-01        0.999           1.1
   3      6.3371e+04       3.7191e+00        2.8865e-01        1.000           1.5
   4      5.0448e+04       3.7357e+00        2.0090e-01        1.000           1.9
   5      4.0159e+04       3.7441e+00        1.3113e-01        0.999           2.4
   6      3.1969e+04       3.7603e+00        6.8376e-02        1.000           2.8
   7      2.5450e+04       3.7718e+00        7.9529e-03        1.000           3.3
   8      2.0259e+04       3.7903e+00       -3.4464e-02        1.000           3.7
   9      1.6128e+04       3.8097e+00       -7.2528e-02        1.000           4.1
  10      1.2839e+04       3.8328e+00       -1.0840e-01        1.000           4.6
  11      1.0220e+04       3.8590e+00       -1.4306e-01        1.000           5.0
  12      8.1360e+03       3.8858e+00       -1.7344e-01        1.000           5.5
  13      6.4768e+03       3.9168e+00       -2.0076e-01        1.000           6.1
  14      5.1559e+03       3.9530e+00       -2.2953e-01        1.000           7.1
  15      4.1044e+03       3.9885e+00       -2.5575e-01        1.000           7.5
  16      3.2674e+03       4.0317e+00       -2.8137e-01        1.000           8.0
  17      2.6010e+03       4.0778e+00       -3.0392e-01        1.000           8.4
  18      2.0706e+03       4.1288e+00       -3.2433e-01        1.000           9.1
  19      1.6483e+03       4.1805e+00       -3.4238e-01        1.000          10.2
  20      1.3122e+03       4.2380e+00       -3.5682e-01        0.999          10.7
  21      1.0446e+03       4.2971e+00       -3.6794e-01        0.999          11.1
  22      8.3153e+02       4.3596e+00       -3.7689e-01        0.999          11.6
  23      6.6195e+02       4.4212e+00       -3.7949e-01        0.999          12.0
  24      5.2695e+02       4.4848e+00       -3.7768e-01        0.999          12.5
  25      4.1949e+02       4.5486e+00       -3.7210e-01        0.999          12.9
  26      3.3394e+02       4.6071e+00       -3.6050e-01        0.999          13.3
  27      2.6584e+02       4.6662e+00       -3.4606e-01        0.999          13.8
  28      2.1162e+02       4.7190e+00       -3.2939e-01        0.999          14.2
  29      1.6846e+02       4.7687e+00       -3.0719e-01        0.999          14.6
  30      1.3411e+02       4.8120e+00       -2.8364e-01        0.999          15.1
  31      1.0676e+02       4.8521e+00       -2.6045e-01        0.999          15.5
  32      8.4986e+01       4.8863e+00       -2.3745e-01        0.999          16.0
  33      6.7654e+01       4.9155e+00       -2.1719e-01        0.999          16.5
  34      5.3524e+01       4.9329e+00       -1.9422e-01        0.999          17.8
  35      4.1896e+01       4.9543e+00       -1.7069e-01        0.999          19.4
  36      3.2409e+01       4.9734e+00       -1.5076e-01        0.999          20.5
  37      2.4746e+01       4.9877e+00       -1.2950e-01        0.999          21.7
  38      1.8624e+01       5.0024e+00       -1.1009e-01        0.999          23.0
  39      1.3792e+01       5.0129e+00       -9.5093e-02        0.999          24.5
  40      1.0031e+01       5.0236e+00       -7.8649e-02        0.999          26.1
  41      7.1499e+00       5.0313e+00       -6.3463e-02        0.999          27.9
  42      4.9825e+00       5.0377e+00       -4.8317e-02        0.999          30.2
  43      3.3858e+00       5.0438e+00       -4.0180e-02        0.999          32.8
  44      2.2374e+00       5.0519e+00       -3.0355e-02        0.999          36.3
  45      1.4343e+00       5.0624e+00       -2.1782e-02        0.999          41.7
  46      8.9031e-01       5.0831e+00       -1.6273e-02        1.000          48.5
  47      5.3506e-01       5.1288e+00       -1.1348e-02        0.999          58.5
  48      3.1211e-01       5.1622e+00       -8.2724e-03        1.000          73.5
  49      1.7783e-01       5.0940e+00       -2.2346e-03        1.000          97.9
  
