File.......:  600eis 403h - JUL,08.2014

System.....:  
Potential..:  0.000V
Current....:  6.0994uA
Temperature:  -0.9+-0.0C
Time.......:  20:57:54 - 21:00:19
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       3.8598e+00        3.6148e-01        1.000           0.0
  2       7.9606e+04       3.8637e+00        2.5898e-01        1.000           1.5
  3       6.3371e+04       3.8775e+00        1.8007e-01        0.999           2.0
  4       5.0448e+04       3.8900e+00        1.1405e-01        1.000           2.4
  5       4.0159e+04       3.9100e+00        5.0467e-02        1.000           2.8
  6       3.1969e+04       3.9197e+00        4.5093e-03        1.000           3.3
  7       2.5450e+04       3.9373e+00       -3.7596e-02        1.000           3.7
  8       2.0259e+04       3.9550e+00       -7.3655e-02        1.000           4.2
  9       1.6128e+04       3.9778e+00       -1.0801e-01        1.000           4.6
 10       1.2839e+04       4.0015e+00       -1.3890e-01        1.000           5.1
 11       1.0220e+04       4.0282e+00       -1.7006e-01        1.000           5.5
 12       8.1360e+03       4.0563e+00       -1.9942e-01        1.000           6.0
 13       6.4768e+03       4.0899e+00       -2.2603e-01        1.000           6.4
 14       5.1559e+03       4.1264e+00       -2.5237e-01        1.000           6.9
 15       4.1044e+03       4.1664e+00       -2.7769e-01        1.000           7.4
 16       3.2674e+03       4.2115e+00       -3.0218e-01        1.000           7.8
 17       2.6010e+03       4.2593e+00       -3.2471e-01        1.000           8.3
 18       2.0706e+03       4.3118e+00       -3.4469e-01        0.999           8.7
 19       1.6483e+03       4.3679e+00       -3.6346e-01        1.000           9.2
 20       1.3122e+03       4.4266e+00       -3.7823e-01        0.999           9.7
 21       1.0446e+03       4.4880e+00       -3.9069e-01        1.000          10.1
 22       8.3153e+02       4.5520e+00       -3.9983e-01        0.999          10.6
 23       6.6195e+02       4.6173e+00       -4.0378e-01        0.999          11.0
 24       5.2695e+02       4.6828e+00       -4.0520e-01        0.999          11.5
 25       4.1949e+02       4.7498e+00       -4.0008e-01        0.999          11.9
 26       3.3394e+02       4.8134e+00       -3.9169e-01        0.999          12.3
 27       2.6584e+02       4.8763e+00       -3.8049e-01        0.999          12.8
 28       2.1162e+02       4.9367e+00       -3.6056e-01        0.999          13.2
 29       1.6846e+02       4.9915e+00       -3.4157e-01        0.999          13.7
 30       1.3411e+02       5.0422e+00       -3.2001e-01        0.999          14.2
 31       1.0676e+02       5.0876e+00       -2.9517e-01        0.999          14.6
 32       8.4986e+01       5.1287e+00       -2.7154e-01        0.999          15.1
 33       6.7654e+01       5.1642e+00       -2.4742e-01        0.999          15.6
 34       5.3524e+01       5.1827e+00       -2.2038e-01        0.999          16.9
 35       4.1896e+01       5.2101e+00       -1.9581e-01        0.999          18.5
 36       3.2409e+01       5.2329e+00       -1.7192e-01        0.999          19.6
 37       2.4746e+01       5.2518e+00       -1.4859e-01        0.999          20.8
 38       1.8624e+01       5.2685e+00       -1.2691e-01        0.999          22.2
 39       1.3792e+01       5.2813e+00       -1.0868e-01        0.999          23.6
 40       1.0031e+01       5.2954e+00       -8.7142e-02        0.999          25.2
 41       7.1499e+00       5.3052e+00       -7.0531e-02        0.999          27.1
 42       4.9825e+00       5.3132e+00       -5.4023e-02        0.999          29.3
 43       3.3858e+00       5.3221e+00       -4.3409e-02        0.999          32.0
 44       2.2374e+00       5.3296e+00       -3.3214e-02        1.000          35.4
 45       1.4343e+00       5.3411e+00       -2.3788e-02        1.000          40.9
 46       8.9031e-01       5.3678e+00       -1.6465e-02        1.000          47.7
 47       5.3506e-01       5.4183e+00       -1.4224e-02        1.000          57.6
 48       3.1211e-01       5.4482e+00       -6.1496e-03        1.000          72.6
 49       1.7783e-01       5.3598e+00       -4.0005e-03        1.000          97.1
 50       1.0000e-01       5.3994e+00        8.4006e-04        0.999         133.0

