File.......:  600eis 48h - JUN,23.2014

System.....:  
Potential..:  0.000V
Current....:  7.8463uA
Temperature:  -1.1+-0.0C
Time.......:  22:07:37 - 22:10:39
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.3181e+00        4.0592e-01        1.000           0.0
   2      7.9606e+04       3.3232e+00        3.0457e-01        1.000           1.1
   3      6.3371e+04       3.3308e+00        2.1957e-01        1.000           1.5
   4      5.0448e+04       3.3408e+00        1.4924e-01        1.000           1.9
   5      4.0159e+04       3.3494e+00        9.0992e-02        1.000           2.4
   6      3.1969e+04       3.3634e+00        4.0566e-02        1.000           2.8
   7      2.5450e+04       3.3751e+00       -6.4551e-03        1.000           3.2
   8      2.0259e+04       3.3925e+00       -4.4431e-02        1.000           3.7
   9      1.6128e+04       3.4115e+00       -7.8010e-02        1.000           4.1
  10      1.2839e+04       3.4337e+00       -1.0889e-01        1.000           4.5
  11      1.0220e+04       3.4585e+00       -1.3777e-01        1.000           4.9
  12      8.1360e+03       3.4866e+00       -1.6535e-01        1.000           5.4
  13      6.4768e+03       3.5179e+00       -1.8857e-01        1.000           5.8
  14      5.1559e+03       3.5527e+00       -2.1204e-01        1.000           6.2
  15      4.1044e+03       3.5906e+00       -2.3255e-01        1.000           6.7
  16      3.2674e+03       3.6322e+00       -2.5087e-01        1.000           7.1
  17      2.6010e+03       3.6760e+00       -2.6696e-01        1.000           7.5
  18      2.0706e+03       3.7226e+00       -2.8016e-01        1.000           7.9
  19      1.6483e+03       3.7711e+00       -2.9053e-01        1.000           8.4
  20      1.3122e+03       3.8213e+00       -2.9870e-01        1.000           8.8
  21      1.0446e+03       3.8727e+00       -3.0245e-01        1.000           9.2
  22      8.3153e+02       3.9247e+00       -3.0492e-01        0.999           9.6
  23      6.6195e+02       3.9762e+00       -3.0283e-01        0.999          10.0
  24      5.2695e+02       4.0280e+00       -2.9693e-01        0.999          10.5
  25      4.1949e+02       4.0781e+00       -2.8899e-01        0.999          10.9
  26      3.3394e+02       4.1261e+00       -2.7648e-01        0.999          11.3
  27      2.6584e+02       4.1718e+00       -2.6069e-01        1.000          11.7
  28      2.1162e+02       4.2132e+00       -2.4307e-01        0.999          12.2
  29      1.6846e+02       4.2501e+00       -2.2406e-01        0.999          12.6
  30      1.3411e+02       4.2824e+00       -2.0381e-01        0.999          13.0
  31      1.0676e+02       4.3119e+00       -1.8245e-01        0.999          13.4
  32      8.4986e+01       4.3377e+00       -1.6414e-01        0.999          13.9
  33      6.7654e+01       4.3589e+00       -1.4577e-01        0.999          14.4
  34      5.3524e+01       4.3801e+00       -1.2853e-01        0.999          15.6
  35      4.1896e+01       4.3969e+00       -1.0987e-01        0.999          17.2
  36      3.2409e+01       4.4132e+00       -9.3771e-02        0.999          18.3
  37      2.4746e+01       4.4276e+00       -7.9498e-02        0.999          19.5
  38      1.8624e+01       4.4401e+00       -6.4558e-02        0.999          20.8
  39      1.3792e+01       4.4530e+00       -5.3585e-02        0.999          22.3
  40      1.0031e+01       4.4638e+00       -4.1721e-02        0.999          23.9
  41      7.1499e+00       4.4762e+00       -3.4235e-02        0.999          25.7
  42      4.9825e+00       4.4898e+00       -2.6669e-02        0.999          27.9
  43      3.3858e+00       4.5030e+00       -1.9905e-02        1.000          30.6
  44      2.2374e+00       4.5164e+00       -1.3271e-02        0.999          34.0
  45      1.4343e+00       4.5274e+00       -1.1385e-02        1.000          39.4
  46      8.9031e-01       4.5300e+00       -6.9102e-03        0.999          46.2
  47      5.3506e-01       4.5110e+00       -4.6793e-03        0.999          56.1
  48      3.1211e-01       4.4462e+00       -7.7720e-04        0.999          71.1
  49      1.7783e-01       4.4522e+00       -3.1819e-03        1.000          95.5
  50      1.0000e-01       4.4547e+00        2.3194e-03        1.000         170.3

