File.......:  600eis 540h - JUL,15.2014

System.....:  
Potential..:  -0.001V
Current....:  -64.826uA
Temperature:  -1.5+-0.0C
Time.......:  09:12:22 - 09:14:46
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.9383e+00        2.6621e-01        1.000           0.0
   2      7.9606e+04       3.9525e+00        1.8385e-01        1.000           1.1
   3      6.3371e+04       3.9614e+00        1.1456e-01        1.000           1.5
   4      5.0448e+04       3.9771e+00        5.7546e-02        1.000           1.9
   5      4.0159e+04       3.9943e+00        1.0420e-02        1.000           2.4
   6      3.1969e+04       4.0093e+00       -3.2931e-02        1.000           2.8
   7      2.5450e+04       4.0272e+00       -7.6914e-02        1.000           3.3
   8      2.0259e+04       4.0478e+00       -1.0939e-01        1.000           3.7
   9      1.6128e+04       4.0708e+00       -1.4035e-01        1.000           4.1
  10      1.2839e+04       4.0974e+00       -1.6898e-01        1.000           4.6
  11      1.0220e+04       4.1256e+00       -1.9792e-01        1.000           5.0
  12      8.1360e+03       4.1582e+00       -2.2598e-01        1.000           5.5
  13      6.4768e+03       4.1940e+00       -2.5103e-01        1.000           5.9
  14      5.1559e+03       4.2340e+00       -2.7769e-01        1.000           6.3
  15      4.1044e+03       4.2775e+00       -3.0359e-01        1.000           6.8
  16      3.2674e+03       4.3252e+00       -3.2709e-01        1.000           7.2
  17      2.6010e+03       4.3772e+00       -3.4964e-01        1.000           7.6
  18      2.0706e+03       4.4332e+00       -3.7022e-01        1.000           8.1
  19      1.6483e+03       4.4923e+00       -3.8838e-01        0.999           8.5
  20      1.3122e+03       4.5555e+00       -4.0397e-01        0.999           8.9
  21      1.0446e+03       4.6205e+00       -4.1719e-01        0.999           9.4
  22      8.3153e+02       4.6873e+00       -4.2749e-01        0.999           9.8
  23      6.6195e+02       4.7563e+00       -4.3379e-01        0.999          10.3
  24      5.2695e+02       4.8264e+00       -4.3665e-01        1.000          10.7
  25      4.1949e+02       4.8963e+00       -4.3635e-01        0.999          11.1
  26      3.3394e+02       4.9667e+00       -4.2984e-01        0.999          11.6
  27      2.6584e+02       5.0369e+00       -4.2090e-01        0.999          12.0
  28      2.1162e+02       5.1051e+00       -4.0614e-01        0.999          12.5
  29      1.6846e+02       5.1665e+00       -3.8759e-01        0.999          12.9
  30      1.3411e+02       5.2265e+00       -3.6684e-01        0.999          13.3
  31      1.0676e+02       5.2793e+00       -3.4238e-01        0.999          13.8
  32      8.4986e+01       5.3293e+00       -3.1411e-01        0.999          14.3
  33      6.7654e+01       5.3732e+00       -2.8648e-01        0.999          14.8
  34      5.3524e+01       5.4001e+00       -2.5719e-01        0.999          16.0
  35      4.1896e+01       5.4355e+00       -2.2824e-01        0.999          17.6
  36      3.2409e+01       5.4614e+00       -2.0078e-01        0.999          18.8
  37      2.4746e+01       5.4851e+00       -1.7274e-01        0.999          20.0
  38      1.8624e+01       5.5095e+00       -1.4756e-01        0.999          21.3
  39      1.3792e+01       5.5268e+00       -1.2611e-01        0.999          22.7
  40      1.0031e+01       5.5431e+00       -1.0171e-01        0.999          24.3
  41      7.1499e+00       5.5530e+00       -8.3265e-02        0.999          26.2
  42      4.9825e+00       5.5675e+00       -6.5243e-02        1.000          28.4
  43      3.3858e+00       5.5758e+00       -5.1834e-02        1.000          31.1
  44      2.2374e+00       5.5881e+00       -3.7985e-02        0.999          34.5
  45      1.4343e+00       5.6003e+00       -3.0336e-02        1.000          39.9
  46      8.9031e-01       5.6295e+00       -2.0982e-02        1.000          46.8
  47      5.3506e-01       5.6807e+00       -1.6314e-02        1.000          56.7
  48      3.1211e-01       5.7034e+00       -1.0109e-02        1.000          71.7
  49      1.7783e-01       5.6226e+00       -2.1553e-03        1.000          96.1
  50      1.0000e-01       5.6742e+00       -1.8537e-03        0.999         132.1

