File.......:  600eis 617h - JUL,18.2014

System.....:  
Potential..:  -0.000V
Current....:  12.418uA
Temperature:  2.6  +-0.0 C
Time.......:  13:45:54 - 13:49:01
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       4.0404e+00       -5.5236e-03        0.999           0.0
   2      7.9606e+04       4.0424e+00       -3.1657e-02        1.000           2.0
   3      6.3371e+04       4.0515e+00       -5.8506e-02        1.000           3.1
   4      5.0448e+04       4.0634e+00       -8.1319e-02        1.000           4.1
   5      4.0159e+04       4.0770e+00       -1.0025e-01        1.000           5.1
   6      3.1969e+04       4.0964e+00       -1.2605e-01        1.000           6.2
   7      2.5450e+04       4.1119e+00       -1.5075e-01        1.000           7.2
   8      2.0259e+04       4.1320e+00       -1.6956e-01        1.000           8.3
   9      1.6128e+04       4.1579e+00       -1.9211e-01        1.000           9.3
  10      1.2839e+04       4.1841e+00       -2.1473e-01        1.000          10.3
  11      1.0220e+04       4.2132e+00       -2.3571e-01        1.000          11.4
  12      8.1360e+03       4.2458e+00       -2.5757e-01        1.000          12.4
  13      6.4768e+03       4.2816e+00       -2.8199e-01        1.000          13.5
  14      5.1559e+03       4.3214e+00       -3.0394e-01        1.000          14.5
  15      4.1044e+03       4.3666e+00       -3.2775e-01        1.000          15.6
  16      3.2674e+03       4.4144e+00       -3.5066e-01        1.000          16.6
  17      2.6010e+03       4.4667e+00       -3.7125e-01        1.000          17.6
  18      2.0706e+03       4.5220e+00       -3.9149e-01        0.999          18.7
  19      1.6483e+03       4.5808e+00       -4.0987e-01        1.000          19.7
  20      1.3122e+03       4.6439e+00       -4.2528e-01        0.999          20.8
  21      1.0446e+03       4.7091e+00       -4.3846e-01        0.999          21.8
  22      8.3153e+02       4.7770e+00       -4.4978e-01        0.999          22.8
  23      6.6195e+02       4.8468e+00       -4.5687e-01        0.999          23.9
  24      5.2695e+02       4.9181e+00       -4.5977e-01        0.999          24.9
  25      4.1949e+02       4.9743e+00       -4.6043e-01        0.999          26.3
  26      3.3394e+02       5.0464e+00       -4.5656e-01        0.998          27.6
  27      2.6584e+02       5.1192e+00       -4.4891e-01        0.998          28.7
  28      2.1162e+02       5.1917e+00       -4.3784e-01        0.998          29.7
  29      1.6846e+02       5.2611e+00       -4.2157e-01        0.998          30.7
  30      1.3411e+02       5.3276e+00       -4.0159e-01        0.998          31.8
  31      1.0676e+02       5.3913e+00       -3.7952e-01        0.999          32.8
  32      8.4986e+01       5.4475e+00       -3.5267e-01        0.999          33.9
  33      6.7654e+01       5.5001e+00       -3.2432e-01        0.999          35.0
  34      5.3524e+01       5.5462e+00       -2.9664e-01        0.999          37.2
  35      4.1896e+01       5.5906e+00       -2.6505e-01        0.999          40.3
  36      3.2409e+01       5.6319e+00       -2.3308e-01        0.999          43.1
  37      2.4746e+01       5.6719e+00       -2.0036e-01        0.999          45.9
  38      1.8624e+01       5.7066e+00       -1.7017e-01        0.999          48.8
  39      1.3792e+01       5.7390e+00       -1.4507e-01        0.999          51.9
  40      1.0031e+01       5.7691e+00       -1.1877e-01        0.999          55.1
  41      7.1499e+00       5.7982e+00       -9.8750e-02        1.000          58.5
  42      4.9825e+00       5.8262e+00       -7.7432e-02        1.000          62.4
  43      3.3858e+00       5.8529e+00       -5.9329e-02        1.000          66.6
  44      2.2374e+00       5.8772e+00       -4.4438e-02        1.000          71.6
  45      1.4343e+00       5.8916e+00       -3.4130e-02        1.000          77.5
  46      8.9031e-01       5.8840e+00       -2.8569e-02        1.000          85.2
  47      5.3506e-01       5.8414e+00       -1.8540e-02        1.000          96.1
  48      3.1211e-01       5.8137e+00       -1.2629e-02        1.000         114.6
  49      1.7783e-01       5.8586e+00       -1.1203e-02        0.999         139.4
  50      1.0000e-01       5.8453e+00       -3.5649e-03        1.000         175.2

