File.......:  600eis 379h - JUL,07.2014

System.....:  
Potential..:  -0.001V
Current....:  -72.632uA
Temperature:  -1.3+-0.1C
Time.......:  21:19:21 - 21:21:45
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.6006e+00        3.1189e-01        1.000           0.0
   2      7.9606e+04       3.6137e+00        2.2107e-01        1.000           1.1
   3      6.3371e+04       3.6300e+00        1.4438e-01        1.000           1.5
   4      5.0448e+04       3.6448e+00        8.2047e-02        1.000           1.9
   5      4.0159e+04       3.6605e+00        3.0635e-02        1.000           2.4
   6      3.1969e+04       3.6791e+00       -1.1911e-02        1.000           2.8
   7      2.5450e+04       3.6975e+00       -5.5642e-02        1.000           3.3
   8      2.0259e+04       3.7198e+00       -8.7932e-02        1.000           3.7
   9      1.6128e+04       3.7432e+00       -1.1794e-01        1.000           4.2
  10      1.2839e+04       3.7698e+00       -1.4516e-01        1.000           4.6
  11      1.0220e+04       3.7972e+00       -1.7129e-01        1.000           5.1
  12      8.1360e+03       3.8280e+00       -1.9694e-01        1.000           5.5
  13      6.4768e+03       3.8616e+00       -2.1899e-01        1.000           6.0
  14      5.1559e+03       3.8976e+00       -2.4255e-01        1.000           6.4
  15      4.1044e+03       3.9375e+00       -2.6586e-01        1.000           6.9
  16      3.2674e+03       3.9815e+00       -2.8819e-01        1.000           7.3
  17      2.6010e+03       4.0291e+00       -3.0966e-01        1.000           7.8
  18      2.0706e+03       4.0804e+00       -3.2987e-01        1.000           8.2
  19      1.6483e+03       4.1351e+00       -3.4731e-01        1.000           8.6
  20      1.3122e+03       4.1933e+00       -3.6290e-01        1.000           9.1
  21      1.0446e+03       4.2558e+00       -3.7568e-01        1.000           9.5
  22      8.3153e+02       4.3194e+00       -3.8545e-01        1.000          10.0
  23      6.6195e+02       4.3860e+00       -3.9128e-01        0.999          10.4
  24      5.2695e+02       4.4522e+00       -3.9305e-01        1.000          10.9
  25      4.1949e+02       4.5203e+00       -3.9150e-01        0.999          11.3
  26      3.3394e+02       4.5853e+00       -3.8281e-01        1.000          11.7
  27      2.6584e+02       4.6494e+00       -3.7149e-01        1.000          12.2
  28      2.1162e+02       4.7113e+00       -3.5705e-01        1.000          12.6
  29      1.6846e+02       4.7685e+00       -3.3739e-01        0.999          13.0
  30      1.3411e+02       4.8214e+00       -3.1490e-01        0.999          13.5
  31      1.0676e+02       4.8683e+00       -2.9112e-01        0.999          14.0
  32      8.4986e+01       4.9112e+00       -2.7066e-01        0.999          14.4
  33      6.7654e+01       4.9497e+00       -2.4666e-01        0.999          14.9
  34      5.3524e+01       4.9861e+00       -2.2180e-01        1.000          16.2
  35      4.1896e+01       5.0219e+00       -1.9776e-01        1.000          17.8
  36      3.2409e+01       5.0510e+00       -1.7608e-01        1.000          18.9
  37      2.4746e+01       5.0802e+00       -1.5069e-01        1.000          20.1
  38      1.8624e+01       5.1083e+00       -1.3025e-01        1.000          22.0
  39      1.3792e+01       5.1332e+00       -1.1115e-01        1.000          23.5
  40      1.0031e+01       5.1588e+00       -9.0883e-02        1.000          25.7
  41      7.1499e+00       5.1794e+00       -7.6589e-02        1.000          27.5
  42      4.9825e+00       5.1979e+00       -5.8188e-02        1.000          29.7
  43      3.3858e+00       5.2138e+00       -4.6694e-02        1.000          32.4
  44      2.2374e+00       5.2275e+00       -3.4122e-02        1.000          35.8
  45      1.4343e+00       5.2330e+00       -2.6237e-02        1.000          41.3
  46      8.9031e-01       5.2252e+00       -1.6730e-02        1.000          48.1
  47      5.3506e-01       5.1928e+00       -1.1986e-02        1.000          58.0
  48      3.1211e-01       5.1377e+00       -6.5428e-03        1.000          73.0
  49      1.7783e-01       5.1846e+00       -2.9591e-03        0.999          97.5
  50      1.0000e-01       5.1983e+00        6.4061e-03        1.000         133.4

