File.......:  600eis 588h - JUL,17.2014

System.....:  
Potential..:  0.000V
Current....:  6.405uA
Temperature:  -0.9+-0.1C
Time.......:  09:06:50 - 09:09:15
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       3.7330e+00        2.4076e-01        1.000           0.0
  2       7.9606e+04       3.7435e+00        1.6356e-01        1.000           1.5
  3       6.3371e+04       3.7559e+00        1.0193e-01        1.000           1.9
  4       5.0448e+04       3.7709e+00        4.8723e-02        1.000           2.3
  5       4.0159e+04       3.7856e+00        5.5424e-03        1.000           2.8
  6       3.1969e+04       3.8025e+00       -3.4840e-02        1.000           3.2
  7       2.5450e+04       3.8179e+00       -7.0637e-02        1.000           3.7
  8       2.0259e+04       3.8389e+00       -9.9414e-02        1.000           4.1
  9       1.6128e+04       3.8607e+00       -1.2691e-01        1.000           4.5
 10       1.2839e+04       3.8845e+00       -1.5297e-01        1.000           5.0
 11       1.0220e+04       3.9116e+00       -1.7798e-01        1.000           5.4
 12       8.1360e+03       3.9393e+00       -2.0333e-01        1.000           5.8
 13       6.4768e+03       3.9714e+00       -2.2605e-01        1.000           6.3
 14       5.1559e+03       4.0061e+00       -2.4942e-01        1.000           6.7
 15       4.1044e+03       4.0449e+00       -2.7255e-01        1.000           7.1
 16       3.2674e+03       4.0871e+00       -2.9691e-01        1.000           7.6
 17       2.6010e+03       4.1334e+00       -3.1835e-01        1.000           8.0
 18       2.0706e+03       4.1839e+00       -3.3905e-01        1.000           8.5
 19       1.6483e+03       4.2370e+00       -3.5870e-01        1.000           8.9
 20       1.3122e+03       4.2949e+00       -3.7580e-01        1.000           9.3
 21       1.0446e+03       4.3562e+00       -3.8985e-01        1.000           9.8
 22       8.3153e+02       4.4191e+00       -4.0219e-01        1.000          10.2
 23       6.6195e+02       4.4851e+00       -4.1149e-01        1.000          10.7
 24       5.2695e+02       4.5530e+00       -4.1673e-01        1.000          11.3
 25       4.1949e+02       4.6205e+00       -4.1743e-01        1.000          12.3
 26       3.3394e+02       4.6893e+00       -4.1315e-01        0.999          12.7
 27       2.6584e+02       4.7570e+00       -4.0593e-01        1.000          13.1
 28       2.1162e+02       4.8217e+00       -3.9406e-01        0.999          13.6
 29       1.6846e+02       4.8860e+00       -3.7770e-01        0.999          14.0
 30       1.3411e+02       4.9451e+00       -3.5790e-01        0.999          15.1
 31       1.0676e+02       5.0018e+00       -3.3625e-01        0.999          15.6
 32       8.4986e+01       5.0498e+00       -3.1036e-01        0.999          16.1
 33       6.7654e+01       5.0953e+00       -2.8630e-01        0.999          16.6
 34       5.3524e+01       5.1317e+00       -2.5920e-01        1.000          17.8
 35       4.1896e+01       5.1693e+00       -2.3284e-01        1.000          19.4
 36       3.2409e+01       5.2008e+00       -2.0638e-01        0.999          20.5
 37       2.4746e+01       5.2311e+00       -1.8101e-01        1.000          21.8
 38       1.8624e+01       5.2579e+00       -1.5527e-01        1.000          23.1
 39       1.3792e+01       5.2818e+00       -1.3254e-01        1.000          24.5
 40       1.0031e+01       5.3060e+00       -1.0943e-01        1.000          26.1
 41       7.1499e+00       5.3242e+00       -8.7899e-02        1.000          27.9
 42       4.9825e+00       5.3446e+00       -7.0044e-02        1.000          30.2
 43       3.3858e+00       5.3609e+00       -5.2677e-02        1.000          32.9
 44       2.2374e+00       5.3850e+00       -4.2246e-02        1.000          36.3
 45       1.4343e+00       5.4104e+00       -3.0812e-02        1.000          41.7
 46       8.9031e-01       5.4472e+00       -2.2799e-02        1.000          48.5
 47       5.3506e-01       5.4870e+00       -1.5774e-02        1.000          58.5
 48       3.1211e-01       5.4430e+00       -6.9157e-03        1.000          73.5
 49       1.7783e-01       5.3547e+00       -5.3210e-03        1.000          97.9
 50       1.0000e-01       5.4588e+00       -1.4223e-03        0.999         133.9

