File.......:  600eis 617h - JUL,18.2014

System.....:  
Potential..:  -0.000V
Current....:  13.908uA
Temperature:  2.6  +-0.0 C
Time.......:  13:39:47 - 13:42:54
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.7942e+00       -6.2424e-02        1.000           0.0
   2      7.9606e+04       3.7990e+00       -7.5385e-02        1.000           1.9
   3      6.3371e+04       3.8047e+00       -8.8833e-02        1.000           3.0
   4      5.0448e+04       3.8147e+00       -1.0023e-01        1.000           4.0
   5      4.0159e+04       3.8252e+00       -1.1766e-01        1.000           5.0
   6      3.1969e+04       3.8397e+00       -1.3143e-01        1.000           6.1
   7      2.5450e+04       3.8548e+00       -1.4946e-01        1.000           7.1
   8      2.0259e+04       3.8741e+00       -1.6442e-01        1.000           8.2
   9      1.6128e+04       3.8954e+00       -1.7986e-01        1.000           9.2
  10      1.2839e+04       3.9176e+00       -1.9784e-01        1.000          10.3
  11      1.0220e+04       3.9454e+00       -2.1403e-01        1.000          11.3
  12      8.1360e+03       3.9752e+00       -2.3109e-01        1.000          12.4
  13      6.4768e+03       4.0067e+00       -2.5043e-01        1.000          13.4
  14      5.1559e+03       4.0431e+00       -2.7078e-01        1.000          14.4
  15      4.1044e+03       4.0827e+00       -2.9128e-01        1.000          15.5
  16      3.2674e+03       4.1270e+00       -3.1123e-01        1.000          16.5
  17      2.6010e+03       4.1744e+00       -3.3159e-01        1.000          17.6
  18      2.0706e+03       4.2264e+00       -3.5076e-01        1.000          18.6
  19      1.6483e+03       4.2803e+00       -3.7070e-01        1.000          19.6
  20      1.3122e+03       4.3405e+00       -3.8722e-01        1.000          20.7
  21      1.0446e+03       4.4039e+00       -4.0199e-01        1.000          21.7
  22      8.3153e+02       4.4702e+00       -4.1447e-01        1.000          22.8
  23      6.6195e+02       4.5392e+00       -4.2305e-01        0.999          23.8
  24      5.2695e+02       4.6110e+00       -4.2926e-01        1.000          24.8
  25      4.1949e+02       4.6831e+00       -4.3323e-01        1.000          25.9
  26      3.3394e+02       4.7563e+00       -4.3031e-01        1.000          26.9
  27      2.6584e+02       4.8292e+00       -4.2345e-01        1.000          28.0
  28      2.1162e+02       4.8850e+00       -4.1304e-01        0.998          29.3
  29      1.6846e+02       4.9538e+00       -3.9809e-01        0.998          30.6
  30      1.3411e+02       5.0211e+00       -3.7914e-01        0.998          31.7
  31      1.0676e+02       5.0866e+00       -3.5805e-01        0.999          32.7
  32      8.4986e+01       5.1424e+00       -3.3289e-01        0.999          33.8
  33      6.7654e+01       5.1964e+00       -3.0607e-01        0.999          34.9
  34      5.3524e+01       5.2533e+00       -2.8219e-01        1.000          37.2
  35      4.1896e+01       5.3055e+00       -2.5250e-01        1.000          40.2
  36      3.2409e+01       5.3532e+00       -2.2355e-01        1.000          43.0
  37      2.4746e+01       5.4001e+00       -1.9368e-01        1.000          45.8
  38      1.8624e+01       5.4375e+00       -1.6578e-01        1.000          48.7
  39      1.3792e+01       5.4723e+00       -1.4196e-01        1.000          51.8
  40      1.0031e+01       5.4991e+00       -1.1734e-01        1.000          55.0
  41      7.1499e+00       5.5219e+00       -9.8316e-02        1.000          58.5
  42      4.9825e+00       5.5323e+00       -7.7122e-02        1.000          62.3
  43      3.3858e+00       5.5317e+00       -5.8833e-02        1.000          66.6
  44      2.2374e+00       5.5180e+00       -4.3980e-02        1.000          71.6
  45      1.4343e+00       5.4967e+00       -3.3755e-02        1.000          77.6
  46      8.9031e-01       5.4703e+00       -2.6511e-02        1.000          85.3
  47      5.3506e-01       5.4647e+00       -1.7058e-02        1.000          96.1
  48      3.1211e-01       5.5115e+00       -1.1747e-02        1.000         114.6
  49      1.7783e-01       5.5688e+00       -1.0589e-02        1.000         139.5
  50      1.0000e-01       5.4532e+00       -5.7468e-03        1.000         175.3

