File.......:  600eis 121h - JUN,26.2014

System.....:  
Potential..:  -0.001V
Current....:  -67.684uA
Temperature:  -1.1+-0.1C
Time.......:  23:07:38 - 23:10:01
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.4455e+00        3.5322e-01        1.000           0.0
   2      7.9606e+04       3.4524e+00        2.6262e-01        1.000           1.1
   3      6.3371e+04       3.4590e+00        1.8747e-01        1.000           1.5
   4      5.0448e+04       3.4701e+00        1.2574e-01        1.000           1.9
   5      4.0159e+04       3.4793e+00        7.4405e-02        1.000           2.4
   6      3.1969e+04       3.4912e+00        3.0292e-02        1.000           2.8
   7      2.5450e+04       3.5049e+00       -1.2288e-02        1.000           3.3
   8      2.0259e+04       3.5206e+00       -4.5040e-02        1.000           3.7
   9      1.6128e+04       3.5389e+00       -7.5431e-02        1.000           4.2
  10      1.2839e+04       3.5594e+00       -1.0339e-01        1.000           4.6
  11      1.0220e+04       3.5811e+00       -1.2968e-01        1.000           5.1
  12      8.1360e+03       3.6058e+00       -1.5563e-01        1.000           5.5
  13      6.4768e+03       3.6345e+00       -1.7884e-01        1.000           5.9
  14      5.1559e+03       3.6666e+00       -2.0199e-01        1.000           6.4
  15      4.1044e+03       3.7011e+00       -2.2431e-01        1.000           6.9
  16      3.2674e+03       3.7396e+00       -2.4721e-01        1.000           7.3
  17      2.6010e+03       3.7824e+00       -2.6616e-01        1.000           7.7
  18      2.0706e+03       3.8283e+00       -2.8349e-01        1.000           8.2
  19      1.6483e+03       3.8772e+00       -2.9883e-01        1.000           8.6
  20      1.3122e+03       3.9299e+00       -3.1124e-01        0.999           9.0
  21      1.0446e+03       3.9846e+00       -3.1958e-01        0.999           9.5
  22      8.3153e+02       4.0404e+00       -3.2693e-01        0.999           9.9
  23      6.6195e+02       4.0978e+00       -3.2802e-01        0.999          10.4
  24      5.2695e+02       4.1545e+00       -3.2486e-01        0.999          10.8
  25      4.1949e+02       4.2089e+00       -3.1667e-01        1.000          11.2
  26      3.3394e+02       4.2628e+00       -3.0646e-01        0.999          11.7
  27      2.6584e+02       4.3150e+00       -2.9106e-01        0.999          12.1
  28      2.1162e+02       4.3620e+00       -2.7299e-01        0.999          12.5
  29      1.6846e+02       4.4052e+00       -2.5240e-01        0.999          13.0
  30      1.3411e+02       4.4429e+00       -2.3370e-01        0.999          13.4
  31      1.0676e+02       4.4794e+00       -2.1389e-01        0.999          13.9
  32      8.4986e+01       4.5051e+00       -1.9444e-01        0.999          14.3
  33      6.7654e+01       4.5339e+00       -1.7457e-01        0.999          14.8
  34      5.3524e+01       4.5476e+00       -1.4757e-01        0.999          16.1
  35      4.1896e+01       4.5775e+00       -1.3389e-01        0.999          17.7
  36      3.2409e+01       4.6030e+00       -1.1864e-01        0.999          18.8
  37      2.4746e+01       4.6219e+00       -1.0306e-01        1.000          20.0
  38      1.8624e+01       4.6385e+00       -8.6942e-02        0.999          21.3
  39      1.3792e+01       4.6550e+00       -7.6055e-02        0.999          22.8
  40      1.0031e+01       4.6684e+00       -6.0835e-02        0.999          24.4
  41      7.1499e+00       4.6832e+00       -4.8053e-02        0.999          26.2
  42      4.9825e+00       4.6928e+00       -3.7110e-02        0.999          28.5
  43      3.3858e+00       4.7011e+00       -2.8847e-02        0.999          31.1
  44      2.2374e+00       4.7042e+00       -2.3027e-02        0.999          34.6
  45      1.4343e+00       4.7028e+00       -1.6958e-02        1.000          40.0
  46      8.9031e-01       4.6837e+00       -1.1960e-02        1.000          46.8
  47      5.3506e-01       4.6835e+00       -9.6488e-03        0.999          56.8
  48      3.1211e-01       4.6449e+00       -5.9775e-03        0.999          71.8
  49      1.7783e-01       4.6971e+00       -4.4780e-03        0.999          96.2
  50      1.0000e-01       4.6589e+00        1.0442e-03        1.000         132.1

