File.......:  600eis 130h - JUN,27.2014

System.....:  
Potential..:  -0.009V
Current....:  -1.7929mA
Temperature:  -1.0+-0.1C
Time.......:  08:17:32 - 08:19:56
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.4987e+00        3.4452e-01        1.000           0.0
   2      7.9606e+04       3.5029e+00        2.5550e-01        1.000           1.1
   3      6.3371e+04       3.5071e+00        1.8395e-01        1.000           1.5
   4      5.0448e+04       3.5178e+00        1.2161e-01        1.000           1.9
   5      4.0159e+04       3.5267e+00        7.0352e-02        1.000           2.4
   6      3.1969e+04       3.5362e+00        2.8815e-02        1.000           2.8
   7      2.5450e+04       3.5467e+00       -1.2981e-02        1.000           3.3
   8      2.0259e+04       3.5608e+00       -4.5884e-02        1.000           3.7
   9      1.6128e+04       3.5774e+00       -7.5292e-02        1.000           4.1
  10      1.2839e+04       3.5959e+00       -1.0234e-01        1.000           4.6
  11      1.0220e+04       3.6161e+00       -1.2772e-01        1.000           5.0
  12      8.1360e+03       3.6389e+00       -1.5358e-01        1.000           5.5
  13      6.4768e+03       3.6659e+00       -1.7560e-01        1.000           5.9
  14      5.1559e+03       3.6948e+00       -1.9850e-01        1.000           6.3
  15      4.1044e+03       3.7275e+00       -2.2018e-01        1.000           6.8
  16      3.2674e+03       3.7638e+00       -2.4272e-01        1.000           7.2
  17      2.6010e+03       3.8041e+00       -2.6222e-01        1.000           7.6
  18      2.0706e+03       3.8477e+00       -2.7967e-01        1.000           8.1
  19      1.6483e+03       3.8940e+00       -2.9481e-01        1.000           8.5
  20      1.3122e+03       3.9439e+00       -3.0821e-01        0.999           8.9
  21      1.0446e+03       3.9962e+00       -3.1795e-01        0.999           9.4
  22      8.3153e+02       4.0496e+00       -3.2586e-01        1.000           9.8
  23      6.6195e+02       4.1056e+00       -3.2773e-01        0.999          10.3
  24      5.2695e+02       4.1613e+00       -3.2580e-01        0.999          10.7
  25      4.1949e+02       4.2171e+00       -3.2027e-01        0.999          11.1
  26      3.3394e+02       4.2693e+00       -3.0937e-01        0.999          11.6
  27      2.6584e+02       4.3201e+00       -2.9585e-01        0.999          12.0
  28      2.1162e+02       4.3672e+00       -2.7876e-01        0.999          12.5
  29      1.6846e+02       4.4099e+00       -2.5997e-01        0.999          12.9
  30      1.3411e+02       4.4482e+00       -2.3981e-01        0.999          13.3
  31      1.0676e+02       4.4820e+00       -2.1978e-01        0.999          13.8
  32      8.4986e+01       4.5129e+00       -1.9909e-01        0.999          14.3
  33      6.7654e+01       4.5378e+00       -1.8081e-01        0.999          14.8
  34      5.3524e+01       4.5593e+00       -1.6350e-01        0.999          16.0
  35      4.1896e+01       4.5797e+00       -1.4470e-01        0.999          17.6
  36      3.2409e+01       4.5997e+00       -1.2482e-01        0.999          18.7
  37      2.4746e+01       4.6174e+00       -1.0831e-01        0.999          20.0
  38      1.8624e+01       4.6324e+00       -9.1525e-02        0.999          21.3
  39      1.3792e+01       4.6472e+00       -7.9414e-02        0.999          22.7
  40      1.0031e+01       4.6594e+00       -6.3710e-02        0.999          24.3
  41      7.1499e+00       4.6737e+00       -5.0787e-02        0.999          26.1
  42      4.9825e+00       4.6860e+00       -3.9520e-02        0.999          28.4
  43      3.3858e+00       4.6992e+00       -3.1852e-02        0.999          31.1
  44      2.2374e+00       4.7145e+00       -2.4317e-02        0.999          34.5
  45      1.4343e+00       4.7361e+00       -1.8619e-02        0.999          39.9
  46      8.9031e-01       4.7621e+00       -1.3379e-02        0.999          46.7
  47      5.3506e-01       4.7872e+00       -9.9536e-03        0.999          56.7
  48      3.1211e-01       4.7459e+00       -3.0244e-03        1.000          71.7
  49      1.7783e-01       4.6968e+00       -2.7989e-03        0.999          96.1
  50      1.0000e-01       4.7804e+00        4.7790e-04        0.999         132.0

