File.......:  600eis 303h - JUL,04.2014

System.....:  
Potential..:  -0.001V
Current....:  -42.56uA
Temperature:  -1.4+-0.2C
Time.......:  16:37:40 - 16:38:49
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   28
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.7163e+00        4.4868e-01        1.000           0.0
   2      6.4710e+04       3.7395e+00        2.4655e-01        1.000           1.0
   3      4.1873e+04       3.7597e+00        1.0565e-01        1.000           1.5
   4      2.7096e+04       3.7860e+00        2.5298e-03        1.000           1.9
   5      1.7534e+04       3.8199e+00       -7.4609e-02        0.999           2.3
   6      1.1346e+04       3.8667e+00       -1.3595e-01        1.000           3.3
   7      7.3420e+03       3.9224e+00       -1.8997e-01        1.000           3.7
   8      4.7510e+03       3.9878e+00       -2.4360e-01        1.000           4.1
   9      3.0744e+03       4.0688e+00       -2.8944e-01        1.000           4.6
  10      1.9894e+03       4.1645e+00       -3.3134e-01        1.000           5.0
  11      1.2873e+03       4.2713e+00       -3.6209e-01        0.999           6.0
  12      8.3303e+02       4.3890e+00       -3.8351e-01        1.000           6.4
  13      5.3905e+02       4.5120e+00       -3.9025e-01        0.999           6.8
  14      3.4882e+02       4.6352e+00       -3.8143e-01        0.999           7.3
  15      2.2572e+02       4.7511e+00       -3.5591e-01        0.999           7.7
  16      1.4606e+02       4.8563e+00       -3.1625e-01        0.999           8.1
  17      9.4517e+01       4.9419e+00       -2.7051e-01        0.999           8.5
  18      5.9852e+01       5.0002e+00       -2.2256e-01        0.999           9.7
  19      3.7406e+01       5.0508e+00       -1.7522e-01        0.999          11.3
  20      2.3071e+01       5.0844e+00       -1.3455e-01        0.999          12.4
  21      1.4044e+01       5.1064e+00       -1.0163e-01        0.999          13.7
  22      8.4383e+00       5.1211e+00       -7.2324e-02        0.999          15.2
  23      5.0071e+00       5.1272e+00       -5.0255e-02        1.000          17.2
  24      2.9361e+00       5.1246e+00       -3.7095e-02        0.999          19.9
  25      1.7030e+00       5.1171e+00       -2.4789e-02        1.000          24.7
  26      9.7825e-01       5.1107e+00       -1.7633e-02        1.000          30.5
  27      5.5735e-01       5.1276e+00       -1.2505e-02        0.999          40.0
  

