File.......:  600eis 36.5h - JUN,23.2014

System.....:  
Potential..:  -0.001V
Current....:  -65.382uA
Temperature:  -1.1+-0.1C
Time.......:  10:30:00 - 10:31:05
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   47
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.5112e+00        3.8487e-01        1.000           0.0
   2      7.9606e+04       3.5169e+00        2.8808e-01        1.000           1.1
   3      6.3371e+04       3.5229e+00        2.0441e-01        1.000           1.5
   4      5.0448e+04       3.5285e+00        1.3943e-01        1.000           1.9
   5      4.0159e+04       3.5380e+00        8.1650e-02        1.000           2.3
   6      3.1969e+04       3.5489e+00        3.3525e-02        1.000           2.8
   7      2.5450e+04       3.5609e+00       -1.2088e-02        1.000           3.2
   8      2.0259e+04       3.5744e+00       -4.8556e-02        1.000           3.6
   9      1.6128e+04       3.5921e+00       -8.2329e-02        1.000           4.1
  10      1.2839e+04       3.6107e+00       -1.1304e-01        1.000           5.0
  11      1.0220e+04       3.6337e+00       -1.4240e-01        1.000           5.4
  12      8.1360e+03       3.6598e+00       -1.7027e-01        1.000           5.8
  13      6.4768e+03       3.6897e+00       -1.9487e-01        1.000           6.3
  14      5.1559e+03       3.7222e+00       -2.1890e-01        1.000           6.9
  15      4.1044e+03       3.7567e+00       -2.4011e-01        1.000           7.8
  16      3.2674e+03       3.7971e+00       -2.5937e-01        1.000           8.2
  17      2.6010e+03       3.8400e+00       -2.7685e-01        1.000           8.7
  18      2.0706e+03       3.8853e+00       -2.9149e-01        1.000           9.1
  19      1.6483e+03       3.9329e+00       -3.0276e-01        1.000           9.5
  20      1.3122e+03       3.9832e+00       -3.1279e-01        1.000           9.9
  21      1.0446e+03       4.0335e+00       -3.1910e-01        1.000          10.4
  22      8.3153e+02       4.0853e+00       -3.2324e-01        1.000          10.8
  23      6.6195e+02       4.1378e+00       -3.2299e-01        0.999          11.2
  24      5.2695e+02       4.1903e+00       -3.1952e-01        1.000          11.6
  25      4.1949e+02       4.2419e+00       -3.1419e-01        0.999          12.1
  26      3.3394e+02       4.2917e+00       -3.0334e-01        1.000          12.5
  27      2.6584e+02       4.3404e+00       -2.8882e-01        1.000          12.9
  28      2.1162e+02       4.3843e+00       -2.7087e-01        0.999          13.3
  29      1.6846e+02       4.4248e+00       -2.5227e-01        0.999          13.8
  30      1.3411e+02       4.4608e+00       -2.3101e-01        0.999          14.2
  31      1.0676e+02       4.4904e+00       -2.0953e-01        0.999          14.6
  32      8.4986e+01       4.5173e+00       -1.8682e-01        0.999          15.1
  33      6.7654e+01       4.5385e+00       -1.6676e-01        0.999          15.6
  34      5.3524e+01       4.5459e+00       -1.4475e-01        0.999          16.8
  35      4.1896e+01       4.5603e+00       -1.2367e-01        0.999          18.4
  36      3.2409e+01       4.5712e+00       -1.0485e-01        0.999          19.5
  37      2.4746e+01       4.5804e+00       -8.7861e-02        0.999          20.7
  38      1.8624e+01       4.5868e+00       -7.1466e-02        0.999          22.0
  39      1.3792e+01       4.5891e+00       -5.9370e-02        0.999          23.4
  40      1.0031e+01       4.5933e+00       -4.6781e-02        0.999          25.0
  41      7.1499e+00       4.5967e+00       -3.7519e-02        0.999          26.9
  42      4.9825e+00       4.5995e+00       -2.7831e-02        0.999          29.1
  43      3.3858e+00       4.6054e+00       -2.2349e-02        0.999          31.8
  44      2.2374e+00       4.6091e+00       -1.7065e-02        0.999          35.1
  45      1.4343e+00       4.6155e+00       -1.2497e-02        1.000          40.6
   

