File.......:  600eis 36h - JUN,23.2014

System.....:  
Potential..:  0.000V
Current....:  -10.177uA
Temperature:  -0.7+-0.1C
Time.......:  09:55:41 - 09:58:05
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       4.4965e+00        2.3657e-01        1.000           0.0
  2       7.9606e+04       4.5049e+00        1.6456e-01        1.000           1.4
  3       6.3371e+04       4.5160e+00        1.0377e-01        1.000           1.9
  4       5.0448e+04       4.5245e+00        5.3881e-02        1.000           2.3
  5       4.0159e+04       4.5420e+00        1.1180e-02        1.000           2.7
  6       3.1969e+04       4.5557e+00       -2.7442e-02        1.000           3.1
  7       2.5450e+04       4.5706e+00       -6.2545e-02        1.000           3.5
  8       2.0259e+04       4.5890e+00       -9.4459e-02        1.000           4.0
  9       1.6128e+04       4.6127e+00       -1.2519e-01        1.000           4.4
 10       1.2839e+04       4.6374e+00       -1.5309e-01        1.000           4.8
 11       1.0220e+04       4.6649e+00       -1.8320e-01        1.000           5.2
 12       8.1360e+03       4.6962e+00       -2.1297e-01        1.000           5.7
 13       6.4768e+03       4.7324e+00       -2.4122e-01        1.000           6.1
 14       5.1559e+03       4.7719e+00       -2.6798e-01        1.000           6.5
 15       4.1044e+03       4.8178e+00       -2.9711e-01        1.000           6.9
 16       3.2674e+03       4.8674e+00       -3.2368e-01        1.000           7.4
 17       2.6010e+03       4.9218e+00       -3.4904e-01        1.000           7.8
 18       2.0706e+03       4.9807e+00       -3.7132e-01        1.000           8.2
 19       1.6483e+03       5.0406e+00       -3.9264e-01        1.000           8.6
 20       1.3122e+03       5.1074e+00       -4.1140e-01        1.000           9.1
 21       1.0446e+03       5.1766e+00       -4.2689e-01        1.000           9.5
 22       8.3153e+02       5.2488e+00       -4.4100e-01        1.000           9.9
 23       6.6195e+02       5.3226e+00       -4.4925e-01        1.000          10.3
 24       5.2695e+02       5.3991e+00       -4.5584e-01        0.999          10.8
 25       4.1949e+02       5.4766e+00       -4.5771e-01        0.999          11.2
 26       3.3394e+02       5.5551e+00       -4.5549e-01        0.999          11.6
 27       2.6584e+02       5.6335e+00       -4.4964e-01        0.999          12.0
 28       2.1162e+02       5.7080e+00       -4.3679e-01        0.999          12.5
 29       1.6846e+02       5.7854e+00       -4.2018e-01        0.999          12.9
 30       1.3411e+02       5.8562e+00       -3.9581e-01        0.999          13.3
 31       1.0676e+02       5.9217e+00       -3.7003e-01        1.000          13.7
 32       8.4986e+01       5.9800e+00       -3.3976e-01        0.999          14.2
 33       6.7654e+01       6.0327e+00       -3.0582e-01        0.999          14.7
 34       5.3524e+01       6.0781e+00       -2.7445e-01        0.999          15.9
 35       4.1896e+01       6.1216e+00       -2.4111e-01        0.999          17.5
 36       3.2409e+01       6.1557e+00       -2.0305e-01        0.999          18.6
 37       2.4746e+01       6.1892e+00       -1.7195e-01        0.999          19.8
 38       1.8624e+01       6.2136e+00       -1.4239e-01        0.999          21.1
 39       1.3792e+01       6.2312e+00       -1.1846e-01        0.999          22.5
 40       1.0031e+01       6.2502e+00       -8.9770e-02        0.999          24.1
 41       7.1499e+00       6.2593e+00       -6.6794e-02        0.999          26.0
 42       4.9825e+00       6.2696e+00       -4.9399e-02        0.999          28.2
 43       3.3858e+00       6.2741e+00       -3.7963e-02        1.000          30.9
 44       2.2374e+00       6.2664e+00       -3.0339e-02        0.999          34.3
 45       1.4343e+00       6.2457e+00       -1.9905e-02        0.999          39.7
 46       8.9031e-01       6.2067e+00       -1.1387e-02        0.999          46.5
 47       5.3506e-01       6.1606e+00       -7.6202e-03        0.999          56.4
 48       3.1211e-01       6.1285e+00       -4.0982e-03        0.999          71.4
 49       1.7783e-01       6.2137e+00       -4.4447e-03        1.000          95.8
 50       1.0000e-01       6.1735e+00        1.3629e-03        0.999         131.7

