File.......:  600eis 427h - JUL,09.2014

System.....:  
Potential..:  0.000V
Current....:  -11.023uA
Temperature:  -1.4+-0.1C
Time.......:  21:26:59 - 21:29:44
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.8271e+00        3.3077e-01        1.000           0.0
   2      7.9606e+04       3.8379e+00        2.3700e-01        1.000           1.9
   3      6.3371e+04       3.8484e+00        1.5689e-01        1.000           2.4
   4      5.0448e+04       3.8625e+00        9.4124e-02        1.000           2.8
   5      4.0159e+04       3.8765e+00        3.9896e-02        1.000           3.3
   6      3.1969e+04       3.8963e+00       -4.1769e-03        1.000           3.7
   7      2.5450e+04       3.9145e+00       -5.2680e-02        1.000           4.1
   8      2.0259e+04       3.9363e+00       -8.5690e-02        1.000           4.6
   9      1.6128e+04       3.9606e+00       -1.1581e-01        1.000           5.0
  10      1.2839e+04       3.9876e+00       -1.4879e-01        1.000           5.5
  11      1.0220e+04       4.0162e+00       -1.7718e-01        1.000           5.9
  12      8.1360e+03       4.0457e+00       -2.0623e-01        1.000           6.4
  13      6.4768e+03       4.0850e+00       -2.3197e-01        1.000           6.8
  14      5.1559e+03       4.1256e+00       -2.5843e-01        1.000           7.2
  15      4.1044e+03       4.1677e+00       -2.8267e-01        1.000           7.7
  16      3.2674e+03       4.2161e+00       -3.0675e-01        1.000           8.1
  17      2.6010e+03       4.2667e+00       -3.2969e-01        1.000           8.5
  18      2.0706e+03       4.3224e+00       -3.5051e-01        1.000           9.0
  19      1.6483e+03       4.3800e+00       -3.6843e-01        1.000           9.4
  20      1.3122e+03       4.4440e+00       -3.8434e-01        1.000           9.8
  21      1.0446e+03       4.5099e+00       -3.9765e-01        1.000          10.3
  22      8.3153e+02       4.5760e+00       -4.0665e-01        1.000          10.7
  23      6.6195e+02       4.6455e+00       -4.0995e-01        1.000          11.2
  24      5.2695e+02       4.7158e+00       -4.1136e-01        0.999          11.6
  25      4.1949e+02       4.7847e+00       -4.0898e-01        0.999          12.0
  26      3.3394e+02       4.8545e+00       -4.0048e-01        1.000          12.5
  27      2.6584e+02       4.9202e+00       -3.8805e-01        0.999          12.9
  28      2.1162e+02       4.9850e+00       -3.7380e-01        0.999          13.4
  29      1.6846e+02       5.0459e+00       -3.5247e-01        0.999          13.8
  30      1.3411e+02       5.1003e+00       -3.3121e-01        0.999          14.2
  31      1.0676e+02       5.1498e+00       -3.0725e-01        0.999          14.7
  32      8.4986e+01       5.1977e+00       -2.8010e-01        0.999          15.1
  33      6.7654e+01       5.2376e+00       -2.5789e-01        0.999          15.6
  34      5.3524e+01       5.2729e+00       -2.3123e-01        0.999          16.9
  35      4.1896e+01       5.3095e+00       -2.0542e-01        0.999          18.5
  36      3.2409e+01       5.3393e+00       -1.8090e-01        0.999          19.6
  37      2.4746e+01       5.3664e+00       -1.5662e-01        0.999          20.8
  38      1.8624e+01       5.3895e+00       -1.3301e-01        0.999          22.1
  39      1.3792e+01       5.4103e+00       -1.1456e-01        0.999          23.6
  40      1.0031e+01       5.4283e+00       -9.3562e-02        0.999          25.2
  41      7.1499e+00       5.4405e+00       -7.4512e-02        0.999          27.0
  42      4.9825e+00       5.4498e+00       -5.8898e-02        0.999          29.3
  43      3.3858e+00       5.4565e+00       -4.4247e-02        1.000          32.0
  44      2.2374e+00       5.4512e+00       -3.5330e-02        1.000          35.4
  45      1.4343e+00       5.4343e+00       -2.4981e-02        0.999          40.8
  46      8.9031e-01       5.4118e+00       -1.9011e-02        1.000          47.6
  47      5.3506e-01       5.3904e+00       -1.3922e-02        1.000          57.6
  48      3.1211e-01       5.4540e+00       -8.6398e-03        1.000          92.7
  49      1.7783e-01       5.4606e+00       -2.1929e-03        0.999         117.1
  50      1.0000e-01       5.3798e+00        4.1470e-03        1.000         153.1

