File.......:  600eis 463h - JUL,11.2014

System.....:  
Potential..:  0.000V
Current....:  -1.0518uA
Temperature:  -1.0+-0.0C
Time.......:  08:37:33 - 08:39:57
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       3.8494e+00        3.7320e-01        1.000           0.0
  2       7.9606e+04       3.8589e+00        2.7211e-01        1.000           1.4
  3       6.3371e+04       3.8702e+00        1.8788e-01        1.000           1.9
  4       5.0448e+04       3.8830e+00        1.1577e-01        1.000           2.3
  5       4.0159e+04       3.8967e+00        5.8163e-02        1.000           2.8
  6       3.1969e+04       3.9127e+00        7.0607e-03        1.000           3.2
  7       2.5450e+04       3.9290e+00       -3.7840e-02        1.000           3.6
  8       2.0259e+04       3.9487e+00       -7.6678e-02        1.000           4.1
  9       1.6128e+04       3.9706e+00       -1.1100e-01        1.000           4.5
 10       1.2839e+04       3.9951e+00       -1.4336e-01        1.000           5.0
 11       1.0220e+04       4.0222e+00       -1.7398e-01        1.000           5.4
 12       8.1360e+03       4.0526e+00       -2.0313e-01        1.000           5.8
 13       6.4768e+03       4.0861e+00       -2.3061e-01        1.000           6.3
 14       5.1559e+03       4.1241e+00       -2.5711e-01        1.000           6.7
 15       4.1044e+03       4.1647e+00       -2.8304e-01        1.000           7.1
 16       3.2674e+03       4.2100e+00       -3.0778e-01        1.000           7.6
 17       2.6010e+03       4.2601e+00       -3.3016e-01        1.000           8.0
 18       2.0706e+03       4.3126e+00       -3.5021e-01        1.000           8.5
 19       1.6483e+03       4.3689e+00       -3.6942e-01        1.000           8.9
 20       1.3122e+03       4.4287e+00       -3.8474e-01        1.000           9.3
 21       1.0446e+03       4.4920e+00       -3.9728e-01        0.999           9.8
 22       8.3153e+02       4.5563e+00       -4.0659e-01        1.000          10.2
 23       6.6195e+02       4.6221e+00       -4.1244e-01        1.000          10.6
 24       5.2695e+02       4.6903e+00       -4.1418e-01        1.000          11.1
 25       4.1949e+02       4.7564e+00       -4.1256e-01        0.999          11.5
 26       3.3394e+02       4.8233e+00       -4.0595e-01        1.000          12.0
 27       2.6584e+02       4.8895e+00       -3.9513e-01        0.999          12.4
 28       2.1162e+02       4.9503e+00       -3.7963e-01        0.999          12.8
 29       1.6846e+02       5.0102e+00       -3.6085e-01        0.999          13.3
 30       1.3411e+02       5.0661e+00       -3.4027e-01        0.999          13.7
 31       1.0676e+02       5.1158e+00       -3.1941e-01        0.999          14.2
 32       8.4986e+01       5.1611e+00       -2.9192e-01        0.999          14.6
 33       6.7654e+01       5.2005e+00       -2.6620e-01        0.999          15.1
 34       5.3524e+01       5.2271e+00       -2.4005e-01        0.999          16.4
 35       4.1896e+01       5.2570e+00       -2.1253e-01        0.999          18.0
 36       3.2409e+01       5.2830e+00       -1.8539e-01        0.999          19.1
 37       2.4746e+01       5.3067e+00       -1.5853e-01        0.999          20.4
 38       1.8624e+01       5.3265e+00       -1.3553e-01        0.999          21.7
 39       1.3792e+01       5.3441e+00       -1.1700e-01        0.999          23.1
 40       1.0031e+01       5.3596e+00       -9.4260e-02        0.999          24.7
 41       7.1499e+00       5.3701e+00       -7.4648e-02        1.000          26.5
 42       4.9825e+00       5.3836e+00       -5.7809e-02        0.999          28.8
 43       3.3858e+00       5.3923e+00       -4.4425e-02        1.000          31.5
 44       2.2374e+00       5.4042e+00       -3.6612e-02        0.999          34.9
 45       1.4343e+00       5.4211e+00       -2.5614e-02        1.000          40.3
 46       8.9031e-01       5.4499e+00       -1.9576e-02        1.000          47.2
 47       5.3506e-01       5.5038e+00       -1.2699e-02        1.000          57.1
 48       3.1211e-01       5.5156e+00       -7.7461e-03        0.999          72.1
 49       1.7783e-01       5.4249e+00       -5.0936e-03        1.000          96.5
 50       1.0000e-01       5.4858e+00       -6.8216e-04        1.000         132.5

