File.......:  600eis 72h - JUN,24.2014

System.....:  
Potential..:  0.000V
Current....:  2.1811uA
Temperature:  -1.1+-0.1C
Time.......:  21:54:02 - 21:56:22
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   42
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.3605e+00        3.0106e-01        1.000           0.0
   2      7.5437e+04       3.3741e+00        2.0230e-01        1.000           1.1
   3      5.6908e+04       3.3824e+00        1.2197e-01        1.000           1.6
   4      4.2930e+04       3.3944e+00        5.8996e-02        1.000           2.1
   5      3.2385e+04       3.4125e+00        6.2990e-03        1.000           2.5
   6      2.4431e+04       3.4295e+00       -4.3883e-02        1.000           3.0
   7      1.8430e+04       3.4523e+00       -8.2385e-02        1.000           3.5
   8      1.3903e+04       3.4801e+00       -1.1816e-01        1.000           3.9
   9      1.0488e+04       3.5125e+00       -1.5252e-01        1.000           4.3
  10      7.9119e+03       3.5484e+00       -1.8477e-01        1.000           4.8
  11      5.9686e+03       3.5909e+00       -2.1207e-01        1.000           5.3
  12      4.5025e+03       3.6381e+00       -2.3851e-01        1.000           5.7
  13      3.3966e+03       3.6913e+00       -2.6134e-01        1.000           6.2
  14      2.5623e+03       3.7487e+00       -2.8061e-01        0.999           6.6
  15      1.9329e+03       3.8106e+00       -2.9524e-01        1.000           7.0
  16      1.4582e+03       3.8748e+00       -3.0561e-01        1.000           7.5
  17      1.1000e+03       3.9411e+00       -3.1062e-01        1.000           7.9
  18      8.2981e+02       4.0072e+00       -3.1106e-01        1.000           8.4
  19      6.2599e+02       4.0733e+00       -3.0457e-01        0.999           8.8
  20      4.7223e+02       4.1370e+00       -2.9350e-01        0.999           9.3
  21      3.5624e+02       4.1968e+00       -2.7829e-01        0.999           9.7
  22      2.6874e+02       4.2513e+00       -2.5756e-01        1.000          10.2
  23      2.0273e+02       4.3010e+00       -2.3700e-01        0.999          10.6
  24      1.5293e+02       4.3446e+00       -2.1516e-01        0.999          11.1
  25      1.1537e+02       4.3800e+00       -1.8552e-01        0.999          11.5
  26      8.7031e+01       4.4119e+00       -1.6294e-01        0.999          12.0
  27      6.5649e+01       4.4383e+00       -1.4194e-01        0.999          12.5
  28      4.8890e+01       4.4614e+00       -1.2214e-01        0.999          13.8
  29      3.5902e+01       4.4832e+00       -9.9167e-02        0.999          15.5
  30      2.5963e+01       4.4991e+00       -8.1747e-02        0.999          16.7
  31      1.8462e+01       4.5137e+00       -6.5037e-02        0.999          18.1
  32      1.2888e+01       4.5238e+00       -5.3045e-02        0.999          19.6
  33      8.8167e+00       4.5316e+00       -3.8965e-02        0.999          21.5
  34      5.9005e+00       4.5360e+00       -2.8925e-02        0.999          23.7
  35      3.8562e+00       4.5368e+00       -2.2793e-02        0.999          26.4
  36      2.4573e+00       4.5316e+00       -1.5446e-02        0.999          30.0
  37      1.5252e+00       4.5132e+00       -1.2239e-02        0.999          35.7
  38      9.2196e-01       4.4839e+00       -7.3969e-03        0.999          43.2
  39      5.4349e-01       4.4600e+00       -5.6406e-03        0.999          53.5
  40      3.1344e-01       4.4626e+00       -4.6718e-03        1.000          68.4
  41      1.7783e-01       4.5295e+00       -2.7256e-03        0.999          92.8
  42      1.0000e-01       4.4708e+00        4.0664e-04        0.999         128.8

